GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
capitole-challenge,py.com.daas.capitolechallenge.infrastructure.entities,PriceEntity,14,52,0,0,2,9,4,15,4,15
capitole-challenge,py.com.daas.capitolechallenge.application.controllers,PriceController,0,40,0,0,0,7,0,2,0,2
capitole-challenge,py.com.daas.capitolechallenge.application.controllers,ExceptionHandlerController,10,23,0,0,1,3,1,3,1,3
capitole-challenge,py.com.daas.capitolechallenge.infrastructure.repositories,SpringDataH2PriceRepositoryImpl,0,39,0,0,0,7,0,3,0,3
capitole-challenge,py.com.daas.capitolechallenge,CapitoleChallengeApplication,5,3,0,0,2,1,1,1,1,1
capitole-challenge,py.com.daas.capitolechallenge.domain.exceptions,DomainException,0,4,0,0,0,2,0,1,0,1
capitole-challenge,py.com.daas.capitolechallenge.application.dtos,ErrorResponse,0,20,0,0,0,3,0,4,0,4
capitole-challenge,py.com.daas.capitolechallenge.infrastructure.configurations,BeanConfiguration,0,9,0,0,0,2,0,2,0,2
capitole-challenge,py.com.daas.capitolechallenge.domain.dtos,PriceDTO,0,45,0,0,0,1,0,8,0,8
capitole-challenge,py.com.daas.capitolechallenge.domain.services,PriceServiceImpl,0,48,0,0,0,7,0,3,0,3
